seriesId,date,screen,views
Program 3,20180315,tablet,27
Program 3,20180316,mobile,36
Program 3,20180316,desktop,137
Program 3,20180316,tablet,19
Program 3,20180317,tablet,3
Program 3,20180317,mobile,15
Program 3,20180317,desktop,102
Program 3,20180318,mobile,26
Program 3,20180318,tablet,11
Program 3,20180318,desktop,162
Program 3,20180319,mobile,29
Program 3,20180319,tablet,22
Program 3,20180319,desktop,224
Program 3,20180320,desktop,138
Program 3,20180320,mobile,18
Program 3,20180320,tablet,18
Program 3,20180321,tablet,12
Program 3,20180321,mobile,25
Program 3,20180321,desktop,105
Program 3,20180322,tablet,22
Program 3,20180322,desktop,164
Program 3,20180322,mobile,21
Program 3,20180323,tablet,7
Program 3,20180323,desktop,110
Program 3,20180323,mobile,19
Program 3,20180324,mobile,19
Program 3,20180324,desktop,77
Program 3,20180324,tablet,17
Program 3,20180325,desktop,103
Program 3,20180325,mobile,27
Program 3,20180325,tablet,18
Program 3,20180326,desktop,70
Program 3,20180326,tablet,9
Program 3,20180326,mobile,20
Program 3,20180327,mobile,32
Program 3,20180327,tablet,25
